,number_of_likes,caption
59,56,"#picstitch#fun#sunday#prettyboy#sperrys#bruno?#nixon#crazy#love#HE>i
#guyswithcoolhair#keepcalm#andpray @nathenathegoddess @mrspalo @heartns0le"
60,66,#morning #jamsesh #camaro #school #umhb #rayban #count #on #me #123 #ALLDAY #ukulele #bruno #later
61,45,#dinter #butternutsquash #bellpepper #tomato #purée #turkeymeatballs #stilleatgoodonabudget #farfallepasta #homemade
62,51,#Thelastday #6yearsofmemories #stonetreegolfclub #A-team It has been the greatest 6 years of service to the city of Killeen and Stonetree golf club. Great memories and great people.
63,33,Christmas Eve on the road. Happy Holidays 😘✌ @nrdelgado
64,100,#latepost 4thofjuly #lullaby #lateeya #ukulele @tierramendoza__ and I working on something special... Wait on it!
65,80,#6thstreet #birthdayprincess 😂. This is my best friend! #thatisall
66,64,#liquidsugar #paris #vegas #hotAF #rayban #sperry #family #party #dreaming PC: @thatgirljehda @thatboydanny @nixnetwork
67,94,"This is not everyone from @passion268 2018, but every single one of the amazing people I got to experience this with is family! 2018 will be a year of great triumphs and blessings in each and every life. We can boldly proclaim who God says we are and grow with each other. That means holding each other accountable. It’s all good that we came here and got to experience all the great things God has for us, but if we just go back to our lives and get back into the same routine of what we were used to, the enemy wins. The enemy wants to keep you in your comfort ability be side he knows you are a weapon that cannot be matched. You are righteous, chosen, forgiven, redeemed, Holy, loved, perfect, purchased, mighty, wonderful, beautiful, courageous, bold, and above all called by name of our one true God. May 2018 bless each and every one of you and may we continue to challenge and grow one another to be the men and women God has ordained us to be! I love you all very much! ❤️ #family"
68,42,#baby #grown #22 #birthday #growingup #firstcardigan #shopping #rayban #joetgarcias #ftworth #family #love
69,138,"Rustic formal, Modern classic PC: @joe_arispe"
70,52,She always got me🙌 #sissy #foe
71,57,#newbestfriend #austin
72,21,#sperrys#imonaboat#gold#standard#hadtohavethem#love#sunny#deerskin#memoryfoam#BOSS!!
73,47,#hair#beach#southbeach#miami#lifeproof#iphone#dope#vacation
74,46,#whitehorse
75,81,#halo #hollywood
76,68,#squad #goldengatebridge #weouthere #sanfrancisco
77,36,#picstitch #nofilter #party #drivingpartner #friends #bestever #music #loud #aggies #weekend
78,61,#newhobby #haha #iwokeuplikethis #ridingmower #youneedyourgrasscut #calllawrencelawnlovers #imdone 😁😁😁
79,31,"Memorial Day sale!!!! Style: tank top and off the shoulder. Limited supply sizes: L,XL. 30% off!!!! Have you been going through a season of needing to be patient with others or what God's bigger plan is for you? We could all be a little more patient to make the world a whole lot better. Live His word. love His word. Be His word. #itisWRITTEN message me for details!!!!"
80,62,"#nofilter #imhangry #goodeats #homemade #BACON #makeseverythingbetter #shimp #veggies #whiterice who ever said you have to eat salad when you are cutting...tell them they can have it. Portion control, macros, micros, and once in a while treat yourself. It's a journey! Enjoy it!"
81,6,Olive garden:)!!!!
82,39,#picstitch #latepost #coolweather #express #nixon #chill #razoos #outandabout #endofthenight #ootd #kevinhart @dearestgeorgie @nrdelgado
83,35,Forecast for Passion2018 looks good!👌🏾 Definitely the only way I am going to start every year until I die! 🙌🏾 if you don’t know... check it out! #Passion2018 #continuum #theW #weflySW #HOTLANTA #youngadultconference
84,55,#Photobombed #guadalupe #sanantonio #floating #river #hangry #iateitall #pollotropical #workingonmytan
85,18,BLOOD SISTERS @theendelgado ☺✌
86,78,#OOTD #fossil #bowtie #mens #fashion #printedsocks #Austin #itry #urbanbuddha I don't always dress up but when I do... I keep it simple!
87,98,#newhome #austin #milestone #sheisthebest #socandid #gotthekeys #thankful #blessed #PaiseGOD! 🙌
88,49,#reunitedanditfeelssogood #waaaaaaayback
89,75,#happy #mothers #day #2moms #mymomsarebetterthanyours #kikugarden
90,59,#picstitch #riverwalk #sanantonio #family #love #sanmarcos #dicksresstaurant #amazing #lol
91,55,#finals #finalsweek #presentationsfordays #audit #strategic #UMHB #twotoday #twotomorrow #onethursday #graduation #3daysaway
92,7,#almostthere
93,139,Winter is coming... it’s here ❄️! PC: @cesarsa95
94,70,#latch #disclosure #snippet #fullcoversoon #hoodieweather #guitar #acoustic #beanie
95,48,#homemadechickensalad #cranberries#cashews #greekyogurt #spinach #tomato #fetacheese #quest #cheddar&sourcream #chips #agua(that's water) gotta love meal prepping ❤️
96,10,
97,26,#theygetme #wellsaid #thatisall credit: @thatgirljehda #shefoundit
98,69,#whoneedsfastfood #umamiewho #innoutwhat #whatawhat #turkeyburger #portobellomushroom #pinapple #wasabisriracha #hawaiiansweetbun #thatisall
99,71,#Checkingthemail PC: @nathierae
100,47,#prenewyear #run #huff #roshe #nike #timetoparty #newme #newyear #shutthef***up #lmao #newgoalsthough
101,83,#inspired #snippet #just #the #way #you #are #itry #bruno #ukulele #workflow
102,61,Selfie game strong! #illbedamn #basicallyBASIC
103,17,#picstitch#newpeople #goodtimes #goodfriends #party #getlikeus #weboutthatlife#holla @sh_meer
104,41,#picstitch #party #friends #Texas # A&M #cheesecakefactory #young #ringdunk @ziggyzacxx @nickniggie @ragencars @jchris_oc
105,13,#youknow#wedding
106,17,#hanzdefuko #4hairpleasure
107,32,#bonfire #chill #newfriends #mikey #guyswithcoolhair #getonourlevel #shoots!
108,43,#meal1 #breakfast #eatlikeaking #spinachmushroomtomatoomlette #avocado #greekyogurt #strawberry #cinnamon #honey #highqualityH2o
109,22,#CLC #austin #survivaltosignificance #itisWRITTEN❤️
110,54,#happy #birthday #nina #nofilter #dinner #BJ's #summerdays #love #family #ineedtopostmore @chamorie @nathierae @nixnetwork @inenehu @bntt @lori_ann_p @heartns0le
111,65,#nofilter #AE #rayban #vans #HE>i #morning #riseandshine #school #UMHB #hegone
112,74,#schimmelswedding2016 #love #umhb #GOCRU
113,42,#nofilterneeded #perfect #tori #kelly #iwouldwaitforever #prohetbar #dallas #dear #no #one @daliakassem @vperez2877 @laylakassem
114,47,#pho #cold #weather #family #007 #movies #dinner #homecooked #amazeballs @heartns0le @lori_ann_p @nrdelgado @nixnetwork
115,53,That moment you realize that you didn't have sushi for lunch but you know how to cook! #salmonpoke #homemade
116,29,#roxy#orlando#lastnight#legit#1MX#express#hookah#amazing#floridaisfantastic
117,66,#stonetreegolfclub #santalovestitleist #nikesinthetree #golf #titleist #nike
118,58,#Acaibowl #allidoiseat #fullhousescenenext
119,62,#cool #winters #rayban #americanapparel #leatherjacket #sweaterweather #vans #fossil
120,46,#cover #john #mayer #dreamingwithabrokenheart #ukulele #requested #dedicated @vperez2877 #itry
121,81,Been MIA on here. Not posting much but here's to the nice fall weather. PC: @nathierae
122,121,Can’t wait pho what’s to come PC: @thatboydanny
123,25,"#austin #clc #repost #continuum #ministries #college #youngadult If you don't have anything to do on a Tuesday night at 9pm, come and check out what Continuum ministries has to offer. You may not be able to make it tonight or next week, but if you can make it, I promise you will be changed for the better leaving this place. To enjoy fellowship, amazing music, and a great word all you have to do is show up. A series about what we as young adults are going through is happening tonight and for the next few weeks. Relationships, sex, temptation and many more debated topics are being addressed. If you want change in your life, take that step. It may be God repositioning you to elevate you to your ""next"" that He has for you. #itisWRITTEN"
124,48,#calibound
125,20,#party#fun#love#new#friends#myhouse#likenoother#hostoftheyear#life#looksbetter @nathenathegoddess
126,71,#Twopostsinoneweek #isthisreallife #casualfriday #vintagefitbuttondown #levi #jeans #alltheslacksaredirty #Texasveteranscommission #TVC #work #austin #toomanyhashtags 😂 that is all ALOHA FRIDAY EVERYONE😊
127,26,Come check out the Holiday Bazaar at the Killeen civic and convention center from 10-5! #itisWRITTEN
128,6,G shock swag
129,42,#Austin #capitol #cardiooncongress #milesonmiles #sunset
130,51,#ootd #texas #cooldays #summer #rayban #donald #duck #sperrys #dayoff
131,37,"#first#day#school#cheesy
#AE#sperrys#HE>i#ready"
132,24,#anela#sunny#hot#familyfirst#happy
133,38,#grenade #cover #acoustic #guitar #gorilla #suit&tie #littlesis #killedit #brunomars @erramendozaa__ @nixnetwork @nathierae
134,6,#no filter#BOSS!!! #mango#mushrooms#tomatoes#olives#shwag!
135,38,#flux #pavillion #austin #texas #friends #latenights #earlymornings #lights #willienelson #robotman #wecantstop @ragencars @gricky10 @snicolep_14 @shannonseiko
136,54,#postworkout #shake #latenight #iifym #thatsicecreamyes! 🙌
137,2,
138,48,#Weekend #family #oklahoma #Winstar #gambling #ballin #sike #loser #ootd #fossil #ontheborder #sweaterweather #HE>i
139,54,#Leansloppyjoes #smileyface PC: @nathierae
140,52,#herewegoagain #hulkinmycup #greengoodness
141,54,#willsingandplayforfood #freefood #Godsgiftkeepsgiving
142,74,#goldengatebridge
143,38,love you bro 😘
144,29,#YouTube #covers #ukulele #guitar #singing #keyboard #like #comment #SUBSCRIBE #onlyifyoulike
145,8,#finally #stephainehasaninstagram #bored #toomanytags #haha @shannonseiko @gricky10 @ragencars
146,15,#pleasesupport #dallas #becomeaware #becauseyoucare any of my friends in the Dallas area if you can support this cause please do so. If you can make it one day or both days that would be great. Just found out about this but I will be looking into it.
147,21,
148,10,"Come out and have a great time! Food, games, and fun! #CLC #Austin #ilovemychurch"
149,57,#Latepost #lastnight #hawaiireunion #11years #carolinaale
150,65,#thebrome #homemade #tomatobasil #soup #grilledcheese #smokegouda #avocado #rainydays #takemeback #childhood #memories
151,46,"#palmsunday #worthyisthelambwhowasslain #serve #clc #austin #praise #honor #glory #toJesusChrist Today is the start of a celebration. The start of something much greater than us. Our lives are not our own, they were bought at a price. By the blood of our Lord Jesus Christ we are saved. Give Him the glory and the praise this week. He is so DESERVING of it. Love God, Love your neighbor this week and every week after!❤️🙌 #itisWRITTEN"
152,49,#Family #SA #riverwalk #ripleys #waxmuseum #miley #johnnydepp #latenightshow #dickslastresort #partytonightatthehouse
153,32,#nofilter #mysis #missher #theface #twinning #raybans #BJs #restaurant
