,number_of_likes,caption
67,27,Haven't shaved in like a week. 😉 #beard #noshaveaugust #coolin #facialhair
68,37,#teamfitness going running and then lifting. 😁
69,6,Boat party #laketravis #Austin
70,26,"Oh you know,just hanging out with Storm Troopers this morning at the annual Casa Superhero Run. They really love some Live Kombucha Soda! #casasuperherorun #superherorun #livesoda #livekombucha"
71,20,Still got the hops man!!! Benefits of my beastly leg workouts! #hooping #dunking #basketball
72,98,Putting on a little mass. I'm all in and devoted. 😊 #fitness #hardwork #results #gymbody #fitbody #fitsporation #gymspiration #gymlife #gymrat #muscle #abs
73,52,"Beast mode in the gym today. Leg day! Squats, box jumps, burpees. #fit #fitbody #fitness #squats #boxjumps #burpees #exercise #hardwork #gymrat #gymlife #gymspiration #fitsporation"
74,66,If any one knows me they know I'm a Giants fan! Met @teamvic tonight! Swag! #giants #newyorkgiants #nfl #swag
75,42,Practicing/writing on this Friday evening. Music is my only love. #music #piano #love
76,41,That one time three hours ago when i held up this weight for 3.5 minutes to set some kind of record and win some prizes! #nahbroidontcompete #naturallyfitgames2015 #somekindoffitnesstest #iwasatwork
77,35,My hair after watching the GIANTS lose ...again. 0-6 😩 #newyorkgiantsfan #sadlife #longhairdontcare lol
78,27,My ninjas!!! #sxsw2013 #faderfort
79,46,"My very own Teriyaki Chicken and veggies, brown rice, asparagus, and oven roasted red potatoes. ☺#healthy #cooking #cleanfood #fitfoods"
80,21,Bought my first pair of basketball shoes since college lol. It's about to go down. Foam roller and then hoop session. #basketball #hooping #nike #newshoes #foamroller #fitness #gametime
81,95,"Look how cheesy I am every time I see my dad. My big bro made a cameo! ""Take a picture while we're laughing!"" 😂😂😂
.
.
.
#dad #Htown #brother #fam #houston #cheesing #takeapicturewhilewelaughing"
82,28,My two lady friends thought it'd be funny for me to wear their accessories. I felt untouchable. 😂 #2chainz #swag #sexy #beautifulhair ☺
83,42,One more for the road! Tru lucks! #birthdayboy @itsjustinrichard #26 #wecleanupnice #turnup
84,18,I really like my hair. I doubt l ever cut it. 😁 #haircut #selfie #barber
85,54,Me and the Pops!! Chillin and having a few drinks. I don't think we look alike. 😁 #thanksgiving #dad #family #atlanta #atl
86,115,"All the boos in town. We live! Love my friends!
.
.
.
#baes #lit #atx #oucchea #turnup"
87,58,Way too cheesy and excited to be at Disney Land!😁😁😁😝😝 #disneyland #cheesin #beautyandthebeast
88,59,Texas State reppin all day everyday! Proud Alumni! #texasstateuniversity #bobcats #myschool #alumni #saturdaynightlights #GQ
89,10,Waiting for drizzy in Dallas!
90,15,I work off of two computers. Can you guess which one is the best to work with? Hint: not the PC. #apple #macbook #pc #work
91,17,Product of my four hours of writing last night. Song is finished and it's amazing. #singer #singing #songwriter #newmusic #newsong #ilovemusic #untitled #love #phrozentruthproductions
92,5,She waits all day for me to come home do she can cuddle lol. #puppylove
93,23,Cheated on the 5.0's with 4.0's and I'm in love. #newkicks #gymshoes #nike #freeruns
94,37,"A little beat up, but I keep this in my car every day as motivation and I live my life in this way! #livesoda #kombuchaism"
95,51,The love I got from these two was not captured in this photo unfortunately. Just know they loved me. #Radar #Buddy #dinnerwiththeross #dogwhisperer
96,66,Two hours of cooking for three days worth of food. Saving money and also time! #fitfam #fitness #fitnessfood #mealprep #healthyliving #cooking #richfitfoods
97,57,😍 I want this dog so me and my dog can love on it eternally! 😍#turn #imactuallyfreezing #doglover #Atx
98,66,Crazy socks!!! #fagliewedding
99,24,"New shoes came in, but are way too big. 😔 #winterboots #shoes #toobig"
100,29,After dinner picture downtown. Her brother is too tall!!!! #atx #congress #austin #downtown
101,41,I love this little girl. Little sister. #sister #love #siblings #family
102,156,"How's your MDW? Mine is Lit! Be safe and party hard. .
.
.
#mdw2017 #MDW #tequila #lake #lakelife #lit #staylit #centraltexas #atx #memorialdayweekend #partybarge #laketravis #almostsummer"
103,24,Me and my Lucky lounging. #lazy #dog #chillin #puppylove
104,39,How I tailgate after being up since 6AM and working all morning. watching Bama vs. A&M #texaslonghorns #tailgate #texas #tired #longhorns #atx #austin
105,32,Boxing workout with my brothers!! #boxing #workout #sweat #cardio #fitness #hardwork #dedication
106,23,I've succumb to the hype. Took me 35 minutes. ☺ I'm proud of this lol. #drake #drawsomething #thankmelater #boom
