,number_of_likes,caption
91,37,Well at least one of our teams won 😕 #ChristmasFootball #brotherinlaw #luckynumber7 #roethlisberger #elway
92,30,"⬛️◾️◻️◾️⬛️
#latepost"
93,49,🍉
94,67,About last night... 😉
95,73,Good Vibes. Great Friends 🍒
96,16,Leaving Austin and I already miss it. Austin feels like Colorado. Feels like home. 🏡💛
97,33,"#GameFace #BroncosGang 🐎
#GangBanginOnIG 😄😄"
98,15,Roadtrip!! Headed to Austin for the weekend! #atx #6thSt #halloweenweekend
99,36,More birthday celebrations with @cynthia8907 @ldkaye and @steph_vasquez_ 🎉🎉
100,14,Happy New Year!! Its 2013 thought Id hop back on this lol
101,137,There’s something about girls and photo walls 💁🏾‍♀️📸
102,40,Below Zero Vodka🍸💨
103,19,😐
104,17,Dinner by Candlelight
105,47,"Happy Mother’s Day to my mom, and big sister who thought she was my mom growing up 😄 Love you ladies to the 🌙💕 ps. Isn’t my niece adorable?!"
106,23,"A row all to myself 🙌
#AA ✈️"
107,34,On Wednesdays we skate!
108,71,Real Life requires Real People & y’all are the realest! 😄😊💗
109,21,The Vegas Crew #noNewfriends
110,7,Only way to start a #mondayMorning. I said Lynn and they put Glen😐 haha. 4 for you #GlenCoco You go #GlenCoco haha
111,8,"""The caged bird sings
with fearful trill
of the things unknown
but longed for still
and his tune is heard
on the distant hill
for the caged bird
sings of freedom"" -Maya Angelou

I was gonna post this on Sunday from my patio & didnt... Crazy how life is... #RIPMayaAngelou"
112,55,I hope my black skin dont dirt this white dress 😉😘
113,20,Getting flowers always makes me special 😊🌹
114,28,&it would not have been a party without @d_a_troche aka Mr Life of the party 😉 lol thanks for everything!!
115,47,Heading back to Dallas but first... Lemme post a selfie 😉 Ps. Yea I cut all my hair off 🙈
116,7,#mood
117,15,Card from my coworkers. #encouraging💁 #tears😢 #strength💪 #faith🙏 #1monthcountdown😬 #bittersweet😐
118,17,Driving around earlier and caught this view #downtownLA
119,181,"Thirty & Thriving 🥳

Thank you to everyone who celebrated with me this weekend whether in person or by words!!! I have never felt so much love from so many people. Definitely excited for this next decade and all that God will bring 🤗"
120,159,I don’t teach to be recognized. I dont work for rewards. I don’t need acknowledgement for doing what is expected of me. I take this award as a symbol of God’s love and grace for me ☺️ #teacherlifeblessed #doitforthekids
121,66,I wasn't ready for 2016 and had a lot of struggles but I'm so ready to take on 2017! 😊💪🏾#newyearnewgoals #newyearsameme #blackgirlmagic
122,27,#palmSunday #checkmyfit #ilookgood 😉
123,27,💋
124,23,☕️☕️☕️ please
125,27,#firstdayoff #howispentmysummervacation #teacherlife #imlovinit #blackgirlswhotan 😂
126,17,Im not big on cooking so if I cook for you then you know you're special
127,9,My Kelsey got pinned! 😊 #nursingschool #graduation #dinner #cheddars #friends #celebration @kels_daddy @missdiose @reeseu85
128,22,#bonfire #beach #420 @guerrillactin
129,37,First time at the gun range 😁😎. I think I have a pretty good shot with the 9mm ☺️ but if you look close I burnt my chest with a shell 😫😫 haha
130,30,👯 #mdw
131,20,Happy Birthday Josalineeee 😜🎉💜🎈😘 No one understands my complicated ways more than you- i guess its a Sag thing 😉 lol #amillionUsies #decemberbabies #madeinthe80s #1988
132,5,HBD @kels_daddy #SYT #moneybags #whofilmedthis #firstIGvideo #sillyassvideo #bestfriends #nomorehashtags @missdiose
133,33,
134,39,Minus the bullshit life's great #theFaderFort #SXSW2015 #ATX #jackLIVE
135,16,Mellow Yellow.
136,10,12.14.12
137,28,Everybody knows where everyone goes and anything goes on a Friday night 😉 #FGL
138,16,Me my love last night 😊💗 @missdiose
139,18,have faith friends #rp
140,32,#fridaynight #photoshoot #makeup #blackisbeautiful 😍😍😍😍
141,26,😄😄😄 Too lazy to do anything
142,25,PineappleUpsideDownCake 🍍🍒 baked by yours truly ☺️
143,97,"“I know the difference in blessings and worldly possessions” - Chance the Rapper
#acl #goodvibes #scsawitfirst"
144,19,Quick stop in #Vegas. Played the slots and won nothing 😔 lol. #gambling #pitstop #roadtrip
145,10,Happy Halloween! #tbt #collegeparties #UNC #greeley @missdiose @jonahd23 @stillyilly @laceycooley @ajthegod @masochist34
146,26,We met at freshmen orientation for college and the rest is a history filled with tons of laughs and great memories 💛💙 So happy for you!!
147,35,Definitely didn't think I would do this but I did! #austinreptileshows #happybirthdayJaz #RIPBennyBoom
148,45,"#Passion2018 was the best way to start my year! Praising Jesus with 30,000 other young adults was AMAZING ❤️❤️ Feeling blessed, confident, and ready to be bold for the glory of God 🙌🏾"
149,13,😂😂😂 HAPPY BIRTHDAY TO THE CRAZIEST FRIEND I HAVE!! @missdiose my life wouldnt be as amazing and funny if it werent for you. Heres to your 25th! Love you!! 😘🎉🎈🎉🎁💝🎂😜🎊🎈🎉
150,23,Mi familia 😘 @aanesbitt
151,31,#SundayFunday
152,16,#RP 😂😂😂😂
153,70,"The best memories come from the best of times, which can only come from the best of friends💜"
154,40,Happy Birthday Kelsey Rae!!! 😘 #july18th #OnTheRunTour #Htown #beyonce #jayz
155,66,"Leaving CO with a SPLASH 💦😄 thanks to my step sister and brother in law!
#welcometothejungle
#mymomgotsick
#2yroldaintscaredofnothing"
156,104,I love random adventures with these ladies. Even if it is 18 degrees 🥶😄
157,54,"May 7th, 2011. It's been 4 years, 3 cities, & 5 jobs since I graduated college lol. What a journey! Excited to see where God takes me next ☺️ #tbt #blessed #collegegrad #UNCO #life #journey"
158,46,Lets Goooo 🏈 #GameDay #Broncos #cowboyboots
159,18,Gaaaahhhh lee!! 😍😍😍 My first #mcm goes out to @michaelbjordan
160,12,Ready for the fight! #CakePops #BoxingGloves #FightingFaces
161,35,Selfies before the night starts 💚💋 @missdiose
162,15,The happy smile before the devastating loss
163,22,This is so me 🙈🙉🙊 lol #IDGAF #illsettlewhenim30 #impicky #icutguysfornoreason #holdingtryoutsformynewteamsoon 😂😂
164,34,My coworkers decorated my desk ☺️ ready to start my bday weekend!
165,31,Swerve.
166,27,"I wander, I change, I doubt, I grow... I may seem to be distant but my love is still there"
167,25,Happy Mothers day to this beautiful woman!! Words cannot describe how much i love her 💗😘
168,19,
169,21,Dec. 97' #tbt #family #christmas #matchingoutfits #homemadeshirts #hobbylobbypatches #jeanonjean 😄😄
170,56,"My classroom isn’t quite complete but I am so excited and proud of my #WordWall 🤗
Inspired by the amazing @megfischer81
Assisted by @keenap_"
171,32,Add me on snapchat @keatra11 #GoBroncos
172,28,Got my #FluShot today. I aint playing with these ppl in Dallas!! Lol
173,25,Reminder....
174,100,"As I was walking to a #SXSW show a local photographer stopped and asked if he could take a picture. He explained how he was taking pictures to highlight the gentrification of East Austin. Though I was not affected by this cultural shift, I was happy to be a part of his story. This picture shows the Chalmers Courts (low rent public housing) on the right and the Eastside Station apartments (starting at $1500) on the left. “Two worlds separated by a narrow street” is how the artist describes it.
For the full story and pictures go to: https://efephotography.com/2018/03/21/east-austin/"
175,38,Life is good ☺️#NYE #MoniDirty30
176,10,One of my favorite things about Valentines day 😍😋
177,10,Packing up Kelsey's apt and found this treasure 😍 #partystarter @kels_daddy @reeseu85 why didnt we drink this graduation night?? Lol
178,45,Crew love 😎
179,37,No work today! #HappyFriday
180,32,Cousins divided lol #GoBroncos
181,5,Havent done a #tbt in awhile. Found this pic the other day. Miss you girls!! @abenson26 @hechtk
182,38,Wednesday...
183,17,Saturday night family BBQs 💛
184,28,The infamous last night selfie
185,88,F R I D A Y
186,37,Hold on I'm coming home 😊✈️ #denver #colorado #303
187,38,My favorite green scarf 😊💚 #HappyMonday
188,16,
189,23,Bringing 88' back 😉😘
190,8,"#FIFA #WorldCup2014 #Colombia
☕️💋 (Ok ok i just stole this cup from @missdiose 😄😄 i dont watch soccer lol)"
191,11,Mondays Survival Kit. #TAF
192,36,All black everything
193,5,Morning swim ☺ #hungover #hyatt #downtownHtown
194,62,Hanging with my mom and sister last night ❤️🤗
195,31,Finally got to try these!! Lol 😋😋
196,25,Breakfast with this crazy girl lol 😜 #TheOriginalPancakeHouse #Addison #SaturdayBrunch
197,12,🍻🍻 #Oktoberfest #VA
198,52,"Keena,
You are amazing, inspirational, trustworthy, generous, and the absolute best friend a girl could have. I feel so blessed for the friendship we share. Love you much. Happy Birthday beautiful!😘 💜🎉 (Ps. sorry about the snow. We will soon be in Miami soaking up the sun 😎☀️👙🌊)"
199,47,One time for the one time
200,49,Hello Hello
201,13,*music plays* Tequila! 💃 #nationalTequilaDay #celebrate #feelingmyentireLatina haha
202,9,"""If you see more than whats in front of you, you might see more of heavens view"" #np #SiriusRadio #theMessage #DavidDunn #ChristianRock"
203,10,Chop Chop 💇
204,15,At it again... #theycallmeJudy #DiosefuckedupmeandKelseyspic #longasshastags #doyouknowwhatimsayin
205,99,"I had such a great time in CO with my family; it was exactly what my heart needed 😊❤️
.
.
.
.
.
Adventures included: buying new Broncos gear, practicing trick axe throws with my sisters and BILs, seeing some scrolls from the Dead Sea, taking my niece to swim class, going up against an 8yr old in a science Fact or Fiction game, seeing the beautiful Royal Gorge, laughing with Kevin Hart live, having the best 4th of July BBQ, and best of all reading books to my niece!!"
206,53,This year was absolutely amazing! I had challenges but have grew so much and accomplished more than I ever thought was possible. Teaching has given me a passion and purpose in life. I am so grateful for all the blessings God has given me this year and can't wait to see what he will do next year ☺️☺️ #teacherlifeblessed #swipeleft
207,11,Isnt my God Dog the cutest?! 💙💙
208,23,Birthday Shots!! #tequila #IAlmostDied #FunnyFaces
209,46,Another awesome worship service with @taurenwells 🤗 My church has the BEST Wednesday night services!!
210,61,Traffic Selfie 🚦
211,53,Today was a great day filled with fun Christmas festivities 😊🎄🎅🏼 best part- winning 2nd place in the Ugly Sweater contest 😃😄 #squad #gingerbreadman #homemadesweaterswag
212,18,Word. ✌️#rp
213,18,Love this pic! #SXSW #ErykahBadu #nofilter #nozoom #frontrowpic photocredit: @kels_daddy
214,7,#sick 😷😓😣
215,45,"My mom just texted me this pic & said ""Throwback Thursday""lol im killing the pose & where are my front teeth 😩😩 😂😂"
216,26,#MoniDirty30 #NYE #sisters 💙❤️
217,24,
218,24,😂😂😂 i do ask too many questions 🙈 the food question is legit though!!
219,10,Had a football test at work. Pretty proud of how many I got! #HowManyCanYouName? #AreYouReadyForSomeFootball?!
220,104,"Money don't make [us] happy, and a fella can't make [us] fancy. We're smiling for a whole notha reason😆😆 #shining #newbeginnings #Godgotus"
221,29,#tbt to my birthday 4yrs ago. That was the best birthday weekend!! @staysjr @missdiose @keena_p_ @d_a_troche @senor_k_rod @chucc_c_hnic @a_troche_ous
222,39,"Two generations of Nesbitt cousins 💜💜 #Thanksgiving17 #heartfull
📸 cred: @melah0807 😘"
223,12,Just got off the with @monibrew2012. I miss my sister 😔 #fbf #DC #VA #eastcoast #maybemynextcity?!??!?
224,30,polka dot photoshoot 🔵⚪️🔵
225,25,
226,34,#me #bored #saturday #housearrest #bedroom #wallart #someoneentertainme #hashtagoverload #lol
227,21,Til next time.... #VegasSkyView #IAmSoTired #INeedAWeekToRecover #AreWeHomeYet?!
228,17,#repost #SundayFunday 😊🚣🏽
229,23,Ooo kill em 😉 #TexasHoldEm #Poker #ranalltheguysoffthetable 💁
230,3,Tonight is the last Porch of 2014 😩😩 @theporch #ThePorch #Dallas #7pm #BeThere #ComeAsYouAre #WeAreAllSinners #ThankGodForHisGrace 🙌🙌 #hashtagoverload lol
231,21,Happy Birthday to my beautiful sister!! Hope you have a great Dirty 30 day 😉🎂😜🎉🎉😃🎈
232,59,I have 2 hands 🙌 1 beating heart 💓 it's gonna be alright ☺️ #26🎈
233,54,Even on my weakest days I get a little bit stronger
